2021-06-18 09:44:03,891 Kiwoom initializing...
2021-06-18 09:44:49,119 Kiwoom log in success
2021-06-18 09:44:49,120 Account information
2021-06-18 09:44:49,629 Deposit information (Futures)
2021-06-18 09:44:49,675 Portfolio information (Futures) (No item found)
2021-06-18 09:56:08,676 [93mALGORITHM STARTED [97m
2021-06-18 09:56:46,445 Diff5: -0.02, DiffDifff5[-1]:0.05, Diff10[-1]:-0.03, DiffDiff10[-1]: 0.005
2021-06-18 09:56:52,643 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.005
2021-06-18 09:56:52,644 Diff5: -0.02, DiffDifff5[-1]:0.05, Diff10[-1]:-0.03, DiffDiff10[-1]: 0.005
2021-06-18 09:56:52,646 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.005
2021-06-18 09:56:52,646 Diff5: -0.02, DiffDifff5[-1]:0.05, Diff10[-1]:-0.03, DiffDiff10[-1]: 0.005
2021-06-18 09:56:52,649 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.005
2021-06-18 09:56:52,649 Diff5: -0.02, DiffDifff5[-1]:0.05, Diff10[-1]:-0.03, DiffDiff10[-1]: 0.005
2021-06-18 09:56:52,651 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.005
2021-06-18 09:56:52,651 Diff5: -0.02, DiffDifff5[-1]:0.05, Diff10[-1]:-0.03, DiffDiff10[-1]: 0.005
2021-06-18 09:56:52,754 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.0
2021-06-18 09:56:52,765 Diff5: -0.03, DiffDifff5[-1]:0.04, Diff10[-1]:-0.035, DiffDiff10[-1]: 0.0
2021-06-18 09:56:52,862 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.005
2021-06-18 09:56:52,865 Diff5: -0.02, DiffDifff5[-1]:0.05, Diff10[-1]:-0.03, DiffDiff10[-1]: 0.005
2021-06-18 09:56:54,443 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.005
2021-06-18 09:56:54,443 Diff5: -0.02, DiffDifff5[-1]:0.05, Diff10[-1]:-0.03, DiffDiff10[-1]: 0.005
2021-06-18 09:56:56,239 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.005
2021-06-18 09:56:56,239 Diff5: -0.02, DiffDifff5[-1]:0.05, Diff10[-1]:-0.03, DiffDiff10[-1]: 0.005
2021-06-18 09:56:56,751 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.005
2021-06-18 09:56:56,752 Diff5: -0.02, DiffDifff5[-1]:0.05, Diff10[-1]:-0.03, DiffDiff10[-1]: 0.005
2021-06-18 09:56:56,846 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.01
2021-06-18 09:56:56,862 Diff5: -0.01, DiffDifff5[-1]:0.06, Diff10[-1]:-0.025, DiffDiff10[-1]: 0.01
2021-06-18 09:56:56,922 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.01
2021-06-18 09:56:56,923 Diff5: -0.01, DiffDifff5[-1]:0.06, Diff10[-1]:-0.025, DiffDiff10[-1]: 0.01
2021-06-18 09:56:57,942 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.005
2021-06-18 09:56:57,952 Diff5: -0.02, DiffDifff5[-1]:0.05, Diff10[-1]:-0.03, DiffDiff10[-1]: 0.005
2021-06-18 09:56:58,011 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.005
2021-06-18 09:56:58,014 Diff5: -0.02, DiffDifff5[-1]:0.05, Diff10[-1]:-0.03, DiffDiff10[-1]: 0.005
2021-06-18 09:56:58,642 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.005
2021-06-18 09:56:58,643 Diff5: -0.02, DiffDifff5[-1]:0.05, Diff10[-1]:-0.03, DiffDiff10[-1]: 0.005
2021-06-18 09:56:58,945 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.005
2021-06-18 09:56:58,946 Diff5: -0.02, DiffDifff5[-1]:0.05, Diff10[-1]:-0.03, DiffDiff10[-1]: 0.005
2021-06-18 09:56:58,948 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.005
2021-06-18 09:56:58,948 Diff5: -0.02, DiffDifff5[-1]:0.05, Diff10[-1]:-0.03, DiffDiff10[-1]: 0.005
2021-06-18 09:56:59,051 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.005
2021-06-18 09:56:59,051 Diff5: -0.02, DiffDifff5[-1]:0.05, Diff10[-1]:-0.03, DiffDiff10[-1]: 0.005
2021-06-18 09:56:59,141 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.005
2021-06-18 09:56:59,142 Diff5: -0.02, DiffDifff5[-1]:0.05, Diff10[-1]:-0.03, DiffDiff10[-1]: 0.005
2021-06-18 09:56:59,246 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.005
2021-06-18 09:56:59,246 Diff5: -0.02, DiffDifff5[-1]:0.05, Diff10[-1]:-0.03, DiffDiff10[-1]: 0.005
2021-06-18 09:56:59,651 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.005
2021-06-18 09:56:59,651 Diff5: -0.02, DiffDifff5[-1]:0.05, Diff10[-1]:-0.03, DiffDiff10[-1]: 0.005
2021-06-18 09:57:00,047 Diff5: -0.02, DiffDifff5[-2]:0.05, Diff10[-2]:-0.03, DiffDiff10[-2]: 0.01
2021-06-18 09:57:00,047 Diff5: 0.01, DiffDifff5[-1]:0.03, Diff10[-1]:-0.02, DiffDiff10[-1]: 0.01
2021-06-18 09:57:02,050 Diff5: -0.02, DiffDifff5[-2]:0.05, Diff10[-2]:-0.03, DiffDiff10[-2]: 0.01
2021-06-18 09:57:02,050 Diff5: 0.01, DiffDifff5[-1]:0.03, Diff10[-1]:-0.02, DiffDiff10[-1]: 0.01
2021-06-18 09:57:02,051 Diff5: -0.02, DiffDifff5[-2]:0.05, Diff10[-2]:-0.03, DiffDiff10[-2]: 0.01
2021-06-18 09:57:02,052 Diff5: 0.01, DiffDifff5[-1]:0.03, Diff10[-1]:-0.02, DiffDiff10[-1]: 0.01
2021-06-18 09:57:02,247 Diff5: -0.02, DiffDifff5[-2]:0.05, Diff10[-2]:-0.03, DiffDiff10[-2]: 0.01
2021-06-18 09:57:02,247 Diff5: 0.01, DiffDifff5[-1]:0.03, Diff10[-1]:-0.02, DiffDiff10[-1]: 0.01
2021-06-18 09:57:03,038 Diff5: -0.02, DiffDifff5[-2]:0.05, Diff10[-2]:-0.03, DiffDiff10[-2]: 0.01
2021-06-18 09:57:03,039 Diff5: 0.01, DiffDifff5[-1]:0.03, Diff10[-1]:-0.02, DiffDiff10[-1]: 0.01
2021-06-18 09:57:04,753 Diff5: -0.02, DiffDifff5[-2]:0.05, Diff10[-2]:-0.03, DiffDiff10[-2]: 0.005
2021-06-18 09:57:04,756 Diff5: 0.0, DiffDifff5[-1]:0.02, Diff10[-1]:-0.025, DiffDiff10[-1]: 0.005
2021-06-18 09:57:04,851 Diff5: -0.02, DiffDifff5[-2]:0.05, Diff10[-2]:-0.03, DiffDiff10[-2]: 0.005
2021-06-18 09:57:04,851 Diff5: 0.0, DiffDifff5[-1]:0.02, Diff10[-1]:-0.025, DiffDiff10[-1]: 0.005
2021-06-18 09:57:05,243 Diff5: -0.02, DiffDifff5[-2]:0.05, Diff10[-2]:-0.03, DiffDiff10[-2]: 0.005
2021-06-18 09:57:05,243 Diff5: 0.0, DiffDifff5[-1]:0.02, Diff10[-1]:-0.025, DiffDiff10[-1]: 0.005
2021-06-18 09:57:05,441 Diff5: -0.02, DiffDifff5[-2]:0.05, Diff10[-2]:-0.03, DiffDiff10[-2]: 0.005
2021-06-18 09:57:05,441 Diff5: 0.0, DiffDifff5[-1]:0.02, Diff10[-1]:-0.025, DiffDiff10[-1]: 0.005
2021-06-18 09:57:07,639 Diff5: -0.02, DiffDifff5[-2]:0.05, Diff10[-2]:-0.03, DiffDiff10[-2]: 0.005
2021-06-18 09:57:07,639 Diff5: 0.0, DiffDifff5[-1]:0.02, Diff10[-1]:-0.025, DiffDiff10[-1]: 0.005
2021-06-18 09:57:08,350 Diff5: -0.02, DiffDifff5[-2]:0.05, Diff10[-2]:-0.03, DiffDiff10[-2]: 0.005
2021-06-18 09:57:08,350 Diff5: 0.0, DiffDifff5[-1]:0.02, Diff10[-1]:-0.025, DiffDiff10[-1]: 0.005
2021-06-18 09:57:08,352 Diff5: -0.02, DiffDifff5[-2]:0.05, Diff10[-2]:-0.03, DiffDiff10[-2]: 0.005
2021-06-18 09:57:08,353 Diff5: 0.0, DiffDifff5[-1]:0.02, Diff10[-1]:-0.025, DiffDiff10[-1]: 0.005
2021-06-18 09:57:08,442 Diff5: -0.02, DiffDifff5[-2]:0.05, Diff10[-2]:-0.03, DiffDiff10[-2]: 0.005
2021-06-18 09:57:08,442 Diff5: 0.0, DiffDifff5[-1]:0.02, Diff10[-1]:-0.025, DiffDiff10[-1]: 0.005
2021-06-18 09:57:08,444 Diff5: -0.02, DiffDifff5[-2]:0.05, Diff10[-2]:-0.03, DiffDiff10[-2]: 0.005
2021-06-18 09:57:08,444 Diff5: 0.0, DiffDifff5[-1]:0.02, Diff10[-1]:-0.025, DiffDiff10[-1]: 0.005
2021-06-18 09:57:09,445 Diff5: -0.02, DiffDifff5[-2]:0.05, Diff10[-2]:-0.03, DiffDiff10[-2]: 0.005
2021-06-18 09:57:09,445 Diff5: 0.0, DiffDifff5[-1]:0.02, Diff10[-1]:-0.025, DiffDiff10[-1]: 0.005
2021-06-18 09:57:10,350 Diff5: -0.02, DiffDifff5[-2]:0.05, Diff10[-2]:-0.03, DiffDiff10[-2]: 0.005
2021-06-18 09:57:10,350 Diff5: 0.0, DiffDifff5[-1]:0.02, Diff10[-1]:-0.025, DiffDiff10[-1]: 0.005
2021-06-18 09:57:17,539 Diff5: -0.02, DiffDifff5[-2]:0.05, Diff10[-2]:-0.03, DiffDiff10[-2]: 0.005
2021-06-18 09:57:17,539 Diff5: 0.0, DiffDifff5[-1]:0.02, Diff10[-1]:-0.025, DiffDiff10[-1]: 0.005
2021-06-18 09:57:24,355 Diff5: -0.02, DiffDifff5[-2]:0.05, Diff10[-2]:-0.03, DiffDiff10[-2]: 0.01
2021-06-18 09:57:24,358 Diff5: 0.01, DiffDifff5[-1]:0.03, Diff10[-1]:-0.02, DiffDiff10[-1]: 0.01
2021-06-18 09:57:24,376 Diff5: -0.02, DiffDifff5[-2]:0.05, Diff10[-2]:-0.03, DiffDiff10[-2]: 0.01
2021-06-18 09:57:24,380 Diff5: 0.01, DiffDifff5[-1]:0.03, Diff10[-1]:-0.02, DiffDiff10[-1]: 0.01
2021-06-18 09:57:30,245 Diff5: -0.02, DiffDifff5[-2]:0.05, Diff10[-2]:-0.03, DiffDiff10[-2]: 0.01
2021-06-18 09:57:30,245 Diff5: 0.01, DiffDifff5[-1]:0.03, Diff10[-1]:-0.02, DiffDiff10[-1]: 0.01
