2021-06-28 09:35:42,513 Kiwoom initializing...
2021-06-28 09:36:31,831 Kiwoom log in success
2021-06-28 09:36:31,831 Account information
2021-06-28 09:36:32,344 Deposit information (Futures)
2021-06-28 09:36:32,374 Portfolio information (Futures)
2021-06-28 09:36:37,912 Stop Charting
2021-06-28 09:38:00,002 Send order (SELL) command committed successfully KOA_CREATE_FO_ORD
2021-06-28 09:38:00,050 Order execution(-¸Åµµ) F 202109(Á¢¼ö), order:1, executed_sum:0, open:1, price:0.0, number:9959, original:0
2021-06-28 09:38:00,053 Balance information
2021-06-28 09:38:00,055 Order execution(-¸Åµµ) F 202109(Ã¼°á), order:1, executed_sum:1, open:0, price:0.0, number:9959, original:0
2021-06-28 09:38:00,058 Balance information
2021-06-28 09:38:08,170 [93mALGORITHM STARTED [97m
2021-06-28 09:39:37,051 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:37,136 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:37,141 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:37,145 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:37,150 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:37,187 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:37,350 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:37,549 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:38,163 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:40,563 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.01
2021-06-28 09:39:40,692 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.01
2021-06-28 09:39:41,658 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:43,860 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:43,864 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:43,868 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:43,873 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:43,877 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:43,881 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:44,148 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:47,754 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:47,758 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:49,665 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:58,154 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:58,258 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:58,262 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:59,966 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.03
2021-06-28 09:40:01,265 DiffDiff5[-5]:-0.04, DiffDiff5[-4]:0.0, DiffDiff5[-3]:0.0, DiffDiff5[-2]:-0.03, DiffDiff5[-1]:-0.01
